Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Burgess, S., Broadbent, J.R., Foley, C.N., Grant, A.J., Mason, A.M., Staley, J.R.",37080302300;57222019108;57203890672;57223638130;44961446200;56564963800;,MendelianRandomization v0.5.0: Updates to an R package for performing Mendelian randomization analyses using summarized data,2020,Wellcome Open Research,5,,252,,,,64,10.12688/wellcomeopenres.16374.2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100960246&doi=10.12688%2fwellcomeopenres.16374.2&partnerID=40&md5=48f4987adefa651f81527e3bc7a474b7,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85100960246
"Williams, D.M., Finan, C., Schmidt, A.F., Burgess, S., Hingorani, A.D.",36700717800;8849329800;55622055900;37080302300;7005545809;,Lipid lowering and Alzheimer disease risk: A mendelian randomization study,2020,Annals of Neurology,87,1,,30,39,,64,10.1002/ana.25642,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076446790&doi=10.1002%2fana.25642&partnerID=40&md5=0d78a720b30ec8044ff731eca5f1ac2f,Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85076446790
"Cornelis, M.C., Munafo, M.R.",7801575927;7004859481;,Mendelian randomization studies of coffee and caffeine consumption,2018,Nutrients,10,10,1343,,,,64,10.3390/nu10101343,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053871160&doi=10.3390%2fnu10101343&partnerID=40&md5=643943924f1c254b34ef43e548a7450b,Review,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85053871160
"Grover, S., Del Greco, F.M., Stein, C.M., Ziegler, A.",57210469044;56151682100;35447645700;7201554928;,Mendelian randomization,2017,Methods in Molecular Biology,1666,,,581,628,,64,10.1007/978-1-4939-7274-6_29,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030701413&doi=10.1007%2f978-1-4939-7274-6_29&partnerID=40&md5=f4e6ceb336221ce3bc427fe263c2ce19,Book Chapter,Final,,Scopus,2-s2.0-85030701413
"Clarke, M.A., Joshu, C.E.",49460969000;8348390300;,Early life exposures and adult cancer risk,2017,Epidemiologic Reviews,39,1,,11,27,,64,10.1093/epirev/mxx004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020452407&doi=10.1093%2fepirev%2fmxx004&partnerID=40&md5=2df9ffe962e20a23cf92f4e56f30cc10,Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-85020452407
"Feng, R., Lu, M., Xu, J., Zhang, F., Yang, M., Luo, P., Xu, K., Xu, P.",57485952800;57485952700;57222340283;56346253700;57356604300;57223909124;55490874300;57203376434;,Pulmonary embolism and 529 human blood metabolites: genetic correlation and two-sample Mendelian randomization study,2022,BMC Genomic Data,23,1,69,,,,63,10.1186/s12863-022-01082-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136858823&doi=10.1186%2fs12863-022-01082-6&partnerID=40&md5=78bcb7d33119609bdc63810ad7aadb4c,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85136858823
"Xu, K., Li, B., McGinnis, K.A., Vickers-Smith, R., Dao, C., Sun, N., Kember, R.L., Zhou, H., Becker, W.C., Gelernter, J., Kranzler, H.R., Zhao, H., Justice, A.C.",57210864478;57195266188;35514789600;57867559100;57210585024;55508259300;35722432500;57768710300;9238646900;7005602079;7006702856;7404779143;7006296482;,"Genome-wide association study of smoking trajectory and meta-analysis of smoking status in 842,000 individuals",2020,Nature Communications,11,1,5302,,,,63,10.1038/s41467-020-18489-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092943292&doi=10.1038%2fs41467-020-18489-3&partnerID=40&md5=33c4014131e10678e4c29ccdd5d9fc05,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85092943292
"Yeung, C.H.C., Au Yeung, S.L., Fong, S.S.M., Schooling, C.M.",57199285362;8871840600;7102255872;12808565000;,"Lean mass, grip strength and risk of type 2 diabetes: a bi-directional Mendelian randomisation study",2019,Diabetologia,62,5,,789,799,,63,10.1007/s00125-019-4826-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062006074&doi=10.1007%2fs00125-019-4826-0&partnerID=40&md5=c398bc34615f5252e7a372d408f83a56,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85062006074
"Cai, J., Li, X., Wu, S., Tian, Y., Zhang, Y., Wei, Z., Jin, Z., Li, X., Chen, X., Chen, W.-X.",57219308884;57835968900;57913756600;57215652026;57215367175;57222493362;57913332400;55642581000;57212020796;55641581700;,Assessing the causal association between human blood metabolites and the risk of epilepsy,2022,Journal of Translational Medicine,20,1,437,,,,62,10.1186/s12967-022-03648-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139162019&doi=10.1186%2fs12967-022-03648-5&partnerID=40&md5=d1cf12f9054b4275bb245e409447544c,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85139162019
"Yin, X., Chan, L.S., Bose, D., Jackson, A.U., VandeHaar, P., Locke, A.E., Fuchsberger, C., Stringham, H.M., Welch, R., Yu, K., Fernandes Silva, L., Service, S.K., Zhang, D., Hector, E.C., Young, E., Ganel, L., Das, I., Abel, H., Erdos, M.R., Bonnycastle, L.L., Kuusisto, J., Stitziel, N.O., Hall, I.M., Wagner, G.R., Ripatti, S., Palotie, A., Kang, J., Morrison, J., Burant, C.F., Collins, F.S., Ripatti, S., Freimer, N.B., Mohlke, K.L., Scott, L.J., Wen, X., Fauman, E.B., Laakso, M., Boehnke, M.",57001032100;57345794800;57345821500;7402785538;57202905474;57212874871;57205551798;57222618370;57210403340;57218930557;57204444461;6604078269;57217037094;57195237241;57205585768;57193826407;55875630700;36967861100;57207901387;6602395515;55122317600;6507357414;57210836415;57219005948;6603009457;57216039445;57190584177;20335413400;7005513363;55574146000;6603009457;7006012650;57213720699;57216997863;8846776400;6701429676;36078643000;7005423657;,Genome-wide association studies of metabolites in Finnish men identify disease-relevant loci,2022,Nature Communications,13,1,1644,,,,62,10.1038/s41467-022-29143-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127222926&doi=10.1038%2fs41467-022-29143-5&partnerID=40&md5=fb89e65387a5f663bb652f3caf775663,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85127222926
"Grant, A.J., Burgess, S.",57223638130;37080302300;,Pleiotropy robust methods for multivariable Mendelian randomization,2021,Statistics in Medicine,40,26,,5813,5830,,62,10.1002/sim.9156,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111895243&doi=10.1002%2fsim.9156&partnerID=40&md5=d553615cf78b4eb765a060b73dde2c2a,Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85111895243
"Schooling, C.M., Lopez, P.M., Yang, Z., Zhao, J.V., Au Yeung, S.L., Huang, J.V.",12808565000;58370496800;57207764265;57125061000;8871840600;57216482391;,Use of Multivariable Mendelian Randomization to Address Biases Due to Competing Risk Before Recruitment,2021,Frontiers in Genetics,11,,610852,,,,62,10.3389/fgene.2020.610852,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100097893&doi=10.3389%2ffgene.2020.610852&partnerID=40&md5=fb073928343709dc4b4a302c42031f50,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85100097893
"Johansson, M., Carreras-Torres, R., Scelo, G., Purdue, M.P., Mariosa, D., Muller, D.C., Timpson, N.J., Haycock, P.C., Brown, K.M., Wang, Z., Ye, Y., Hofmann, J.N., Foll, M., Gaborieau, V., Machiela, M.J., Colli, L.M., Li, P., Garnier, J.-G., Blanche, H., Boland, A., Burdette, L., Prokhortchouk, E., Skryabin, K.G., Yeager, M., Radojevic-Skodric, S., Ognjanovic, S., Foretova, L., Holcatova, I., Janout, V., Mates, D., Mukeriya, A., Rascu, S., Zaridze, D., Bencko, V., Cybulski, C., Fabianova, E., Jinga, V., Lissowska, J., Lubinski, J., Navratilova, M., Rudnai, P., Benhamou, S., Cancel-Tassin, G., Cussenot, O., Weiderpass, E., Ljungberg, B., Tumkur Sitaram, R., Häggström, C., Bruinsma, F., Jordan, S.J., Severi, G., Winship, I., Hveem, K., Vatten, L.J., Fletcher, T., Larsson, S.C., Wolk, A., Banks, R.E., Selby, P.J., Easton, D.F., Andreotti, G., Beane Freeman, L.E., Koutros, S., Männistö, S., Weinstein, S., Clark, P.E., Edwards, T.L., Lipworth, L., Gapstur, S.M., Stevens, V.L., Carol, H., Freedman, M.L., Pomerantz, M.M., Cho, E., Wilson, K.M., Gaziano, J.M., Sesso, H.D., Freedman, N.D., Parker, A.S., Eckel-Passow, J.E., Huang, W.-Y., Kahnoski, R.J., Lane, B.R., Noyes, S.L., Petillo, D., Teh, B.T., Peters, U., White, E., Anderson, G.L., Johnson, L., Luo, J., Buring, J., Lee, I.-M., Chow, W.-H., Moore, L.E., Eisen, T., Henrion, M., Larkin, J., Barman, P., Leibovich, B.C., Choueiri, T.K., Lathrop, G.M., Deleuze, J.-F., Gunter, M., McKay, J.D., Wu, X., Houlston, R.S., Chanock, S.J., Relton, C., Richards, J.B., Martin, R.M., Davey Smith, G., Brennan, P.",56447900600;36069028100;57212671682;6701653966;56018489000;57199772085;35355373400;35196088100;57208751415;35346086300;11140209100;57204651465;9640149500;56576167900;57205131998;16678382500;57207381862;56763513800;55880484900;56265429900;22949983300;6602596138;7006839334;35379327500;15726145200;6505971507;6603541099;57202964464;55611433200;8987036800;6506730067;57186642400;7005676681;7005297035;6603611727;6602109513;6602636874;6602685552;7005557039;8549611700;57215488766;7006614649;6602596107;7005231497;57205018947;35408207900;26868147300;36238233600;57208450468;25948530700;7004042887;7003439648;6701610017;57201833111;7102856530;7202349296;7005802145;55317238400;57203047182;6701783006;57207896280;8354328100;16301586800;6701509717;7202467316;7402579661;57195376284;7005368336;7004025701;57201568161;57194234238;56752951700;57215519078;7202650699;55463789900;57202563853;7006081424;57198367301;7403268387;9740003600;56447353700;6602856710;7202428905;6602352094;6602830482;57202243291;55568520917;35312877800;13310383900;35344763900;24399315500;36047010400;7404437968;7402281015;57203600483;57203050547;55224880200;8762665400;55979719600;7006554520;34569053700;6603903034;7003508096;8245299200;7201891825;8236942400;34569730700;7006047196;6603403494;57217631678;55689388800;35354080500;57217586210;,The influence of obesity-related factors in the etiology of renal cell carcinoma-A mendelian randomization study,2019,PLoS Medicine,16,1,e1002724,,,,62,10.1371/journal.pmed.1002724,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059499698&doi=10.1371%2fjournal.pmed.1002724&partnerID=40&md5=4e102559d04b720509623c94eb706e93,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85059499698
"Goodarzi, M.O., Rotter, J.I.",7004517118;56284453500;,Genetics Insights in the Relationship between Type 2 Diabetes and Coronary Heart Disease,2020,Circulation Research,126,11,,1526,1548,,61,10.1161/CIRCRESAHA.119.316065,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085155789&doi=10.1161%2fCIRCRESAHA.119.316065&partnerID=40&md5=a2de1bcf89c5d08c24a374ff51c3b0c1,Review,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-85085155789
"Adewuyi, E.O., Sapkota, Y., Auta, A., Yoshihara, K., Nyegaard, M., Griffiths, L.R., Montgomery, G.W., Chasman, D.I., Nyholt, D.R.",57191918671;57208687625;57221273358;57208766026;57216584097;7101833993;8739667300;6701612213;6701531258;,Shared molecular genetic mechanisms underlie endometriosis and migraine comorbidity,2020,Genes,11,3,268,,,,61,10.3390/genes11030268,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081029739&doi=10.3390%2fgenes11030268&partnerID=40&md5=44ebb13efe4186862d6fb420c8bb122f,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85081029739
"Liu, B., Ye, D., Yang, H., Song, J., Sun, X., Mao, Y., He, Z.",57221214273;56754614200;59047066500;57398144300;57190171061;55897373100;52263663400;,"Two-Sample Mendelian Randomization Analysis Investigates Causal Associations Between Gut Microbial Genera and Inflammatory Bowel Disease, and Specificity Causal Associations in Ulcerative Colitis or Crohn’s Disease",2022,Frontiers in Immunology,13,,921546,,,,60,10.3389/fimmu.2022.921546,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134504361&doi=10.3389%2ffimmu.2022.921546&partnerID=40&md5=b922d2fd2e5fcec0740d8b7a1948f555,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85134504361
"de Leeuw, C., Savage, J., Bucur, I.G., Heskes, T., Posthuma, D.",55023101600;56108103800;57205390107;7004495581;57211973500;,Understanding the assumptions underlying Mendelian randomization,2022,European Journal of Human Genetics,30,6,,653,660,,60,10.1038/s41431-022-01038-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123584504&doi=10.1038%2fs41431-022-01038-5&partnerID=40&md5=a0ae8ac75bfb6ffce44a992265c49953,Review,Final,"All Open Access, Bronze",Scopus,2-s2.0-85123584504
"Rosoff, D.B., Clarke, T.-K., Adams, M.J., McIntosh, A.M., Davey Smith, G., Jung, J., Lohoff, F.W.",57201980849;16309036200;55454016200;56208173500;35354080500;8522322700;7801416929;,"Educational attainment impacts drinking behaviors and risk for alcohol dependence: results from a two-sample Mendelian randomization study with ~780,000 participants",2021,Molecular Psychiatry,26,4,,1119,1132,,60,10.1038/s41380-019-0535-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074584909&doi=10.1038%2fs41380-019-0535-9&partnerID=40&md5=4369b848ee59d1eb71145e155f329134,Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85074584909
"Fadista, J., Kraven, L.M., Karjalainen, J., Andrews, S.J., Geller, F., Baillie, J.K., Wain, L.V., Jenkins, R.G., Feenstra, B.",25929854700;57203729796;57220337993;57072675600;57219446179;57221467333;57203296320;57052267200;57211367248;,Shared genetic etiology between idiopathic pulmonary fibrosis and COVID-19 severity,2021,EBioMedicine,65,,103277,,,,60,10.1016/j.ebiom.2021.103277,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103608467&doi=10.1016%2fj.ebiom.2021.103277&partnerID=40&md5=c515eedb03d2c21618d27fff58c69ff3,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85103608467
"Wan, E.Y.F., Fung, W.T., Schooling, C.M., Au Yeung, S.L., Kwok, M.K., Yu, E.Y.T., Wang, Y., Chan, E.W.Y., Wong, I.C.K., Lam, C.L.K.",56496596200;57210204750;12808565000;8871840600;12806220300;56684127200;57218520998;14043219000;7102513915;24755913900;,Blood Pressure and Risk of Cardiovascular Disease in UK Biobank: A Mendelian Randomization Study,2021,Hypertension,77,2,,367,375,,60,10.1161/HYPERTENSIONAHA.120.16138,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100070678&doi=10.1161%2fHYPERTENSIONAHA.120.16138&partnerID=40&md5=94789f656f70745c83b3aeb76a4aad6b,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85100070678
"Cho, Y., Haycock, P.C., Sanderson, E., Gaunt, T.R., Zheng, J., Morris, A.P., Davey Smith, G., Hemani, G.",57478797600;35196088100;56707095100;6603377285;57195956687;7403404824;57220145221;57207869708;,Exploiting horizontal pleiotropy to search for causal pathways within a Mendelian randomization framework,2020,Nature Communications,11,1,1010,,,,60,10.1038/s41467-020-14452-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079792900&doi=10.1038%2fs41467-020-14452-4&partnerID=40&md5=ce6ebc708437192b37cf64ab66cd66ff,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85079792900
"Said, S., Pazoki, R., Karhunen, V., Võsa, U., Ligthart, S., Bodinier, B., Koskeridis, F., Welsh, P., Alizadeh, B.Z., Chasman, D.I., Sattar, N., Chadeau-Hyam, M., Evangelou, E., Jarvelin, M.-R., Elliott, P., Tzoulaki, I., Dehghan, A.",57223384056;57224698490;57210776128;42462595300;56222037900;57197796417;57209707011;35308260700;14069866300;6701612213;7007043802;23090009700;22957065200;57207896735;26643338400;8703141300;16023891700;,Genetic analysis of over half a million people characterises C-reactive protein loci,2022,Nature Communications,13,1,2198,,,,59,10.1038/s41467-022-29650-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128741556&doi=10.1038%2fs41467-022-29650-5&partnerID=40&md5=fb0978d5bff73d418d722fb838745d72,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85128741556
"Yao, S., Zhang, M., Dong, S.-S., Wang, J.-H., Zhang, K., Guo, J., Guo, Y., Yang, T.-L.",57194599531;57199245077;35487052900;58799349200;58898567300;57221341006;57148810300;35294141300;,Bidirectional two-sample Mendelian randomization analysis identifies causal associations between relative carbohydrate intake and depression,2022,Nature Human Behaviour,6,11,,1569,1576,,59,10.1038/s41562-022-01412-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134498806&doi=10.1038%2fs41562-022-01412-9&partnerID=40&md5=3587ec74b3bf62150082993e5fff2991,Article,Final,,Scopus,2-s2.0-85134498806
"Gormley, M., Dudding, T., Sanderson, E., Martin, R.M., Thomas, S., Tyrrell, J., Ness, A.R., Brennan, P., Munafò, M., Pring, M., Boccia, S., Olshan, A.F., Diergaarde, B., Hung, R.J., Liu, G., Davey Smith, G., Richmond, R.C.",55974149900;57093493300;56707095100;55689388800;24479215000;36149612100;57196882492;57217586210;7004859481;9744531000;6603702826;57203175248;6602323610;7102804740;55875098600;57220145221;56118190500;,A multivariable Mendelian randomization analysis investigating smoking and alcohol consumption in oral and oropharyngeal cancer,2020,Nature Communications,11,1,6071,,,,59,10.1038/s41467-020-19822-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096776478&doi=10.1038%2fs41467-020-19822-6&partnerID=40&md5=bf6b75f059531afd822a5e8bc71fc348,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85096776478
"Mills, M.C., Tropf, F.C.",14066587100;56648147700;,"Sociology, genetics, and the coming of age of sociogenomics",2020,Annual Review of Sociology,46,,,553,581,,59,10.1146/annurev-soc-121919-054756,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090196142&doi=10.1146%2fannurev-soc-121919-054756&partnerID=40&md5=e8381d828e582429e124ebf8062bb1dd,Book Chapter,Final,,Scopus,2-s2.0-85090196142
"Zeng, P., Wang, T., Zheng, J., Zhou, X.",57200841379;56319560800;35277631700;55566272600;,Causal association of type 2 diabetes with amyotrophic lateral sclerosis: New evidence from Mendelian randomization using GWAS summary statistics,2019,BMC Medicine,17,1,225,,,,59,10.1186/s12916-019-1448-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076051973&doi=10.1186%2fs12916-019-1448-9&partnerID=40&md5=ca91ed7568b61cad3bad09b8cddb99f7,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85076051973
"Wade, K.H., Carslake, D., Sattar, N., Davey Smith, G., Timpson, N.J.",54581733500;8224911900;7007043802;35354080500;35355373400;,BMI and Mortality in UK Biobank: Revised Estimates Using Mendelian Randomization,2018,Obesity,26,11,,1796,1806,,59,10.1002/oby.22313,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055337606&doi=10.1002%2foby.22313&partnerID=40&md5=ec58340e8b716e6aa7f1a3fa311921bd,Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85055337606
"Lai, F.Y., Nath, M., Hamby, S.E., Thompson, J.R., Nelson, C.P., Samani, N.J.",57189903929;57192831445;26323140600;7405821967;57199851850;7004345054;,Adult height and risk of 50 diseases: A combined epidemiological and genetic analysis,2018,BMC Medicine,16,1,187,,,,59,10.1186/s12916-018-1175-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055462786&doi=10.1186%2fs12916-018-1175-7&partnerID=40&md5=6815ed2cb668a469a8ba0dc968a5f680,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85055462786
